id;note_1;note_2;note_3;vertical;tonality_maj;base_chord;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq;chord_maj
F_D_maj6_Dm_IV6;F4;;D5;True;False;Dm_IV6;;;;;Большая секста;104;;F4_D5;F4_D5_ver;
Dm_IV64;A4;D5;F5;True;False;Dm_IV64;Субдоминантовый квартсекстаккорд;0;В середине;Второе обращение;;105;;A4_D5_F5;A4_D5_F5_ver;False
A_D_perf4_Dm_IV64;A4;D5;;True;False;Dm_IV64;;;;;Кварта;106;;A4_D5;A4_D5_ver;
D_F_min3_Dm_IV64;;D5;F5;True;False;Dm_IV64;;;;;Малая терция;107;;D5_F5;D5_F5_ver;
A_F_min6_Dm_IV64;A4;;F5;True;False;Dm_IV64;;;;;Малая секста;108;;A4_F5;A4_F5_ver;
Dm_IV_arp;D4;F4;A4;False;False;Dm_IV_arp;Субдоминантовое трезвучие;4;Внизу;Основной вид;;109;;D4_F4_A4;D4_F4_A4;False
D_F_min3_Dm_IV_mel;D4;F4;;False;False;Dm_IV_arp;;;;;Малая терция;110;False;D4_F4;D4_F4;
F_A_maj3_Dm_IV_mel;;F4;A4;False;False;Dm_IV_arp;;;;;Большая терция;111;False;F4_A4;F4_A4;
D_F_perf5_Dm_IV_mel;D4;;A4;False;False;Dm_IV_arp;;;;;Квинта;112;False;D4_A4;D4_A4;
Dm_IV6_arp;F4;A4;D5;False;False;Dm_IV6_arp;Субдоминантовый секстаккорд;5;Наверху;Первое обращение;;113;;F4_A4_D5;F4_A4_D5;False
F_A_maj3_Dm_IV6_mel;F4;A4;;False;False;Dm_IV6_arp;;;;;Большая терция;114;False;F4_A4;F4_A4;
A_D_perf4_Dm_IV6_mel;;A4;D5;False;False;Dm_IV6_arp;;;;;Кварта;115;False;A4_D5;A4_D5;
F_D_maj6_Dm_IV6_mel;F4;;D5;False;False;Dm_IV6_arp;;;;;Большая секста;116;False;F4_D5;F4_D5;
Dm_IV64_arp;A4;D5;F5;False;False;Dm_IV64_arp;Субдоминантовый квартсекстаккорд;6;В середине;Второе обращение;;117;;A4_D5_F5;A4_D5_F5;False
A_D_perf4_Dm_IV64_mel;A4;D5;;False;False;Dm_IV64_arp;;;;;Кварта;118;False;A4_D5;A4_D5;
D_F_min3_Dm_IV64_mel;;D5;F5;False;False;Dm_IV64_arp;;;;;Малая терция;119;False;D5_F5;D5_F5;
A_F_min6_Dm_IV64_mel;A4;;F5;False;False;Dm_IV64_arp;;;;;Малая секста;120;False;A4_F5;A4_F5;
E_V;E4;G#4;B4;True;False;E_V;Доминантовое трезвучие;0;Внизу;Основной вид;;121;;E4_Gs4_B4;E4_Gs4_B4_ver;True
