name;base_chord;note_1;note_2;note_3;vertical;tonality_maj;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq
B_D_min6_G_V6_mel;G_V6_arp;B4;;G5;False;True;;;;;Малая секста;68;False;B4_G5;B4_G5
G_V64_arp;G_V64_arp;D5;G5;B5;False;True;Доминантовый квартсекстаккорд;9;В середине;Второе обращение;;69;False;D5_G5_B5;D5_G5_B5
D_G_perf4_G_V64_mel;G_V64_arp;D5;G5;;False;True;;;;;Кварта;70;False;D5_G5;D5_G5
G_B_maj3_G_V64_mel;G_V64_arp;;G5;B5;False;True;;;;;Большая терция;71;False;G5_B5;G5_B5
D_B_maj6_G_V64_mel;G_V64_arp;D4;;B5;False;True;;;;;Большая секста;72;False;D4_B5;D4_B5
Am_I;Am_I;A3;C4;E4;True;False;Тоническое трезвучие;0;Внизу;Основной вид;;73;False;A3_C4_E4;A3_C4_E4_ver
A_C_min3_Am_I;Am_I;A3;C4;;True;False;;;;;Малая терция;74;False;A3_C4;A3_C4_ver
C_E_maj3_Am_I;Am_I;;C4;E4;True;False;;;;;Большая терция;75;False;C4_E4;C4_E4_ver
A_E_perf5_Am_I;Am_I;A3;;E4;True;False;;;;;Квинта;76;False;A3_E4;A3_E4_ver
Am_I6;Am_I6;C4;E4;A4;True;False;Тонический секстаккорд;0;Наверху;Первое обращение;;77;False;C4_E4_A4;C4_E4_A4_ver
C_E_maj3_Am_I6;Am_I6;C4;E4;;True;False;;;;;Большая терция;78;False;C4_E4;C4_E4_ver
E_A_perf4_Am_I6;Am_I6;;E4;A4;True;False;;;;;Кварта;79;False;E4_A4;E4_A4_ver
C_A_maj6_Am_I6;Am_I6;C4;;A4;True;False;;;;;Большая секста;80;False;C4_A4;C4_A4_ver
Am_I64;Am_I64;E4;A4;C5;True;False;Тонический квартсекстаккорд;0;В середине;Второе обращение;;81;False;E4_A4_C5;E4_A4_C5_ver
E_A_perf4_Am_I64;Am_I64;E4;A4;;True;False;;;;;Кварта;82;False;E4_A4;E4_A4_ver
A_C_min3_Am_I64;Am_I64;;A4;C5;True;False;;;;;Малая терция;83;False;A4_C5;A4_C5_ver
E_C_min6_Am_I64;Am_I64;E4;;C5;True;False;;;;;Малая секста;84;False;E4_C5;E4_C5_ver
Am_I_arp;Am_I_arp;A3;C4;E4;False;False;Тоническое трезвучие;1;Внизу;Основной вид;;85;False;A3_C4_E4;A3_C4_E4
A_C_min3_Am_I_mel;Am_I_arp;A3;C4;;False;False;;;;;Малая терция;86;False;A3_C4;A3_C4
C_E_maj3_Am_I_mel;Am_I_arp;;C4;E4;False;False;;;;;Большая терция;87;False;C4_E4;C4_E4
A_E_perf5_Am_I_mel;Am_I_arp;A3;;E4;False;False;;;;;Квинта;88;False;A3_E4;A3_E4
Am_I6_arp;Am_I6_arp;C4;E4;A4;False;False;Тонический секстаккорд;2;Наверху;Первое обращение;;89;False;C4_E4_A4;C4_E4_A4
C_E_maj3_Am_I6_mel;Am_I6_arp;C4;E4;;False;False;;;;;Большая терция;90;False;C4_E4;C4_E4
E_A_perf4_Am_I6_mel;Am_I6_arp;;E4;A4;False;False;;;;;Кварта;91;False;E4_A4;E4_A4
C_A_maj6_Am_I6_mel;Am_I6_arp;C4;;A4;False;False;;;;;Большая секста;92;False;C4_A4;C4_A4
Am_I64_arp;Am_I64_arp;E4;A4;C5;False;False;Тонический квартсекстаккорд;3;В середине;Второе обращение;;93;False;E4_A4_C5;E4_A4_C5
E_A_perf4_Am_I64_mel;Am_I64_arp;E4;A4;;False;False;;;;;Кварта;94;False;E4_A4;E4_A4
A_C_min3_Am_I64_mel;Am_I64_arp;;A4;C5;False;False;;;;;Малая терция;95;False;A4_C5;A4_C5
